Synthesizable,material_id,formula,crystal_system,Space Group Symbol,Space Group Number,Sites,energy_above_hull,formation_energy,predicted_stable,Volume,density,band_gap,Is Gap Direct,is_metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
True,mp-1174348,Li4Mn3O7,Triclinic,P-1,2,28,0.040299268571415,-2.12824616658046,False,260.31169015023875,3.885779524105826,0.791199999999999,False,False,FiM,6.0,,,,,,,,,,,,,,,
True,mp-1174351,Li4Mn3O7,Monoclinic,C2/m,12,28,0.040581942499986,-2.127963492651889,False,260.3603419292989,3.88505341472418,1.1959,False,False,FiM,6.0,,,,,,,,,,,,,,,
True,mp-1174359,Li4Mn3O7,Monoclinic,C2/m,12,28,0.043028229642844,-2.125517205509031,False,259.81225064623663,3.893249194197801,1.162399999999999,False,False,FM,22.0009911,,,,,,,,,,,,,,,
True,mp-1174373,Li4Mn3O7,Monoclinic,C2/m,12,28,0.045252754642844,-2.123292680509031,False,261.22253526419075,3.87223037418334,1.065,False,False,FM,21.999866,,,,,,,,,,,,,,,
True,mp-1174378,Li4Mn3O7,Monoclinic,C2/m,12,28,0.039990112499987,-2.128555322651888,False,261.3772128961179,3.869938868286866,1.1789,False,False,FM,21.9993841,,,,,,,,,,,,,,,
True,mp-1174387,Li4Mn3O7,Monoclinic,C2/m,12,28,0.04311232785713,-2.125433107294745,False,260.57046120901447,3.881920578326029,0.857499999999999,False,False,FM,22.0005118,,,,,,,,,,,,,,,
True,mp-1174410,Li4Mn3O7,Monoclinic,C2/m,12,28,0.042179569642843,-2.126365865509032,False,261.568907681108,3.867102724244145,0.8977,False,False,FM,21.9993797,,,,,,,,,,,,,,,
True,mp-771777,Li4Mn3O8,Trigonal,R-3m,166,15,0.038543417333329,-2.082676992475095,False,145.72066510213483,3.653047741064356,1.1229,False,False,FM,9.0001601,,,,,,,,,,,,,,,
True,mp-779008,Li4Mn3O8,Trigonal,R32,155,60,0.026494299333328,-2.094726110475096,False,576.8656962022792,3.691150643778883,1.7479,False,False,FM,36.002924,,,,,,,,,,,,,,,
True,mp-691115,Li4Mn5O12,Monoclinic,C2/c,15,42,0.0,-2.053914901094687,True,397.4633364794207,4.131443210079115,1.0113,False,False,FM,30.0000017,,,,,,,,,,,,,,,
True,mp-705961,Li5Mn12O24,Monoclinic,Cm,8,123,0.026043066087392,-2.010304827687134,False,1340.8308335789875,4.004919844187697,0.0,False,True,FM,120.9831691,,,,,,,,,,,,,,,
True,mp-1174498,Li5Mn3O8,Monoclinic,C2/m,12,16,0.036606972187489,-2.138445066278735,False,142.60287041967106,3.813740540695311,0.699199999999999,False,False,FM,10.0033247,,,,,,,,,,,,,,,
True,mp-1174519,Li5Mn3O8,Monoclinic,C2/m,12,16,0.036352542187489,-2.138699496278735,False,142.00697832220928,3.829743823610138,0.004599999999999,False,False,FM,9.9994485,,,,,,,,,,,,,,,
True,mp-1174554,Li5Mn3O8,Monoclinic,C2/m,12,32,0.038401015937489,-2.136651022528736,False,285.37522002154515,3.811475629159114,0.652899999999999,False,False,AFM,1.899999999999999e-06,,,,,,,,,,,,,,,
True,mp-1174646,Li5Mn3O8,Monoclinic,P2/m,10,16,0.038321758437489,-2.136730280028735,False,142.848279738856,3.807188641916053,0.0,False,True,FM,10.0005004,,,,,,,,,,,,,,,
True,mp-1174737,Li5Mn3O8,Triclinic,P-1,2,16,0.031739005937488,-2.143313032528736,False,142.61674429550408,3.813369536834703,0.0062,False,False,FM,10.000371,,,,,,,,,,,,,,,
True,mp-1174741,Li5Mn3O8,Triclinic,P-1,2,16,0.030264895937489,-2.144787142528735,False,142.44871011960154,3.817867832445775,0.7887000000000001,False,False,FM,10.0009293,,,,,,,,,,,,,,,
